Position,Track Name,Artist,Streams,URL,Week,Embed
67,Ain't Shit,Doja Cat,8916313,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,9/10/2021,https://open.spotify.com/embed/track/5lAnYvAIkSDNXqfo7DyFUm?utm_source_generator
68,Sweater Weather,The Neighbourhood,8791698,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,9/10/2021,https://open.spotify.com/embed/track/2QjOHCTQ1Jl3zawyYOpxh6?utm_source_generator
69,Miénteme,TINI,8661757,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc,9/10/2021,https://open.spotify.com/embed/track/0cOa970mzTWAxKtltpkpLc?utm_source_generator
70,Pareja Del Año,Sebastian Yatra,8659515,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM,9/10/2021,https://open.spotify.com/embed/track/2rCbl9naJYhaxjLsfx88uM?utm_source_generator
71,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,8652845,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl,9/10/2021,https://open.spotify.com/embed/track/4cG7HUWYHBV6R6tHn1gxrl?utm_source_generator
72,Papi’s Home,Drake,8522529,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX,9/10/2021,https://open.spotify.com/embed/track/6jy9yJfgCsMHdu2Oz4BGKX?utm_source_generator
73,Freaks,Surf Curse,8495021,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,9/10/2021,https://open.spotify.com/embed/track/7EkWXAI1wn8Ii883ecd9xr?utm_source_generator
74,Dynamite,BTS,8494434,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,9/10/2021,https://open.spotify.com/embed/track/4saklk6nie3yiGePpBwUoc?utm_source_generator
75,Tiroteo - Remix,Marc Seguí,8465865,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i,9/10/2021,https://open.spotify.com/embed/track/4OwhwvKESFtuu06dTgct7i?utm_source_generator
76,Someone You Loved,Lewis Capaldi,8329722,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,9/10/2021,https://open.spotify.com/embed/track/7qEHsqek33rTcFNT9PFqLf?utm_source_generator
77,I GUESS I'M IN LOVE,Clinton Kane,8314437,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY,9/10/2021,https://open.spotify.com/embed/track/1is8gU4RVcN4J8xItxWoOY?utm_source_generator
78,Leave Before You Love Me (with Jonas Brothers),Marshmello,8298712,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,9/10/2021,https://open.spotify.com/embed/track/4qu63nuBpdn0qHUHuObEj1?utm_source_generator
79,Astronaut In The Ocean,Masked Wolf,8259911,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC,9/10/2021,https://open.spotify.com/embed/track/6E90gq0KO6FYZVOXx8kCcC?utm_source_generator
80,Don't Start Now,Dua Lipa,8202435,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,9/10/2021,https://open.spotify.com/embed/track/3PfIrDoz19wz7qK7tYeu62?utm_source_generator
81,911 - Remix,Sech,8155094,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A,9/10/2021,https://open.spotify.com/embed/track/27RSJHEA99Y0Vsow7nA37A?utm_source_generator
82,"jealousy, jealousy",Olivia Rodrigo,8077632,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,9/10/2021,https://open.spotify.com/embed/track/0MMyJUC3WNnFS1lit5pTjk?utm_source_generator
83,Where Are You Now,Lost Frequencies,8064157,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z,9/10/2021,https://open.spotify.com/embed/track/3uUuGVFu1V7jTQL60S1r8z?utm_source_generator
84,In The Bible (with Lil Durk & Giveon),Drake,8039670,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT,9/10/2021,https://open.spotify.com/embed/track/61S79KIVA4I9FXbnsylEHT?utm_source_generator
85,Love All (with JAY-Z),Drake,8007543,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH,9/10/2021,https://open.spotify.com/embed/track/4VCbgIdr8ptegWeJpqLVHH?utm_source_generator
86,Love Again,Dua Lipa,8006303,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB,9/10/2021,https://open.spotify.com/embed/track/4rPkN1FMzQyFNP9cLUGIIB?utm_source_generator
87,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,8004957,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6,9/10/2021,https://open.spotify.com/embed/track/0z8hI3OPS8ADPWtoCjjLl6?utm_source_generator
88,The Business,Tiësto,7804531,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,9/10/2021,https://open.spotify.com/embed/track/6f3Slt0GbA2bPZlz0aIFXN?utm_source_generator
89,favorite crime,Olivia Rodrigo,7716236,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,9/10/2021,https://open.spotify.com/embed/track/5JCoSi02qi3jJeHdZXMmR8?utm_source_generator
90,Loco,Justin Quiles,7664269,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72,9/10/2021,https://open.spotify.com/embed/track/6b2HYgqcK9mvktt4GxAu72?utm_source_generator
91,N 2 Deep,Drake,7553884,https://open.spotify.com/track/34D6FJysnQioVingDKufuf,9/10/2021,https://open.spotify.com/embed/track/34D6FJysnQioVingDKufuf?utm_source_generator
92,Save Your Tears,The Weeknd,7510269,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,9/10/2021,https://open.spotify.com/embed/track/5QO79kh1waicV47BqGRL3g?utm_source_generator
93,Chosen (feat. Ty Dolla $ign),Blxst,7506959,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ,9/10/2021,https://open.spotify.com/embed/track/1dIWPXMX4kRHj6Dt2DStUQ?utm_source_generator
94,Poblado - Remix,J Balvin,7486880,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8,9/10/2021,https://open.spotify.com/embed/track/2K1CQMoG2Dy5nmeOYnhoi8?utm_source_generator
95,double take,dhruv,7393139,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k,9/10/2021,https://open.spotify.com/embed/track/2CVChktEKBsM6v4IfdFU5k?utm_source_generator
96,edamame (feat. Rich Brian),bbno$,7337211,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV,9/10/2021,https://open.spotify.com/embed/track/1uMHCAyGmHqyygoNRuo7MV?utm_source_generator
97,RAPSTAR,Polo G,7335785,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg,9/10/2021,https://open.spotify.com/embed/track/18vXApRmJSgQ6wG2ll9AOg?utm_source_generator
98,Jail,Kanye West,7290622,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK,9/10/2021,https://open.spotify.com/embed/track/42ZrMq4BKsWDrrbMnMRYaK?utm_source_generator
99,Arranhão - Ao Vivo,Henrique & Juliano,7057115,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw,9/10/2021,https://open.spotify.com/embed/track/4u06FbRh6FvV2FQZkouzCw?utm_source_generator
100,Heartbreak Anniversary,Giveon,7005873,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,9/10/2021,https://open.spotify.com/embed/track/3FAJ6O0NOHQV8Mc5Ri6ENp?utm_source_generator
101,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,6966457,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY,9/10/2021,https://open.spotify.com/embed/track/2rOnSn2piaqLAlYjtfUBlY?utm_source_generator
102,Believer,Imagine Dragons,6952543,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,9/10/2021,https://open.spotify.com/embed/track/0pqnGHJpmpxLKifKRmU6WP?utm_source_generator
103,lovely (with Khalid),Billie Eilish,6914740,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,9/10/2021,https://open.spotify.com/embed/track/0u2P5u6lvoDfwTYjAADbn4?utm_source_generator
104,Perfect,Ed Sheeran,6881233,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,9/10/2021,https://open.spotify.com/embed/track/0tgVpDi06FyKpA1z0VMD4v?utm_source_generator
105,Before You Go,Lewis Capaldi,6854130,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,9/10/2021,https://open.spotify.com/embed/track/2gMXnyrvIjhVBUZwvLZDMP?utm_source_generator
106,positions,Ariana Grande,6842222,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,9/10/2021,https://open.spotify.com/embed/track/35mvY5S1H3J2QZyna3TFe0?utm_source_generator
